,Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
152,OKC,16,20/11/2021,Away,BOS,L,105,111,39,96,0.406,18,42,0.429,9,16,0.563,15,54,23,5,0,9,15,41,88,0.466,17,39,0.436,12,14,0.857,8,48,28,4,7,7,11
153,OKC,17,22/11/2021,Away,ATL,L,101,113,39,97,0.402,10,38,0.263,13,14,0.929,16,50,24,5,5,8,15,42,87,0.483,14,34,0.412,15,16,0.938,8,44,25,6,6,7,16
154,OKC,18,24/11/2021,Home,UTA,L,104,110,37,82,0.451,15,36,0.417,15,22,0.682,4,43,21,7,4,12,18,39,86,0.453,15,47,0.319,17,20,0.85,7,43,19,11,8,9,15
155,OKC,19,26/11/2021,Home,WAS,L,99,101,38,94,0.404,11,33,0.333,12,14,0.857,10,41,23,7,4,9,15,38,79,0.481,10,29,0.345,15,15,1,5,43,17,2,12,15,15
156,OKC,20,29/11/2021,Away,HOU,L,89,102,31,87,0.356,7,43,0.163,20,26,0.769,4,45,16,10,10,12,14,40,96,0.417,15,46,0.326,7,11,0.636,9,60,31,7,5,13,19
157,OKC,21,01/12/2021,Home,HOU,L,110,114,40,85,0.471,8,32,0.25,22,29,0.759,10,35,16,9,6,13,21,40,79,0.506,15,37,0.405,19,22,0.864,8,40,25,9,12,18,25
158,OKC,22,02/12/2021,Away,MEM,L,79,152,25,76,0.329,11,38,0.289,18,22,0.818,8,26,14,2,5,19,14,60,96,0.625,19,36,0.528,13,18,0.722,14,53,41,16,9,10,15
159,OKC,23,06/12/2021,Away,DET,W,114,103,41,82,0.5,9,25,0.36,23,30,0.767,6,40,22,10,11,11,13,41,99,0.414,16,41,0.39,5,6,0.833,16,52,21,8,7,16,26
160,OKC,24,08/12/2021,Away,TOR,W,110,109,38,84,0.452,17,40,0.425,17,20,0.85,7,40,28,12,3,13,18,42,93,0.452,15,41,0.366,10,15,0.667,13,46,27,6,5,13,19
161,OKC,25,10/12/2021,Home,LAL,L,95,116,38,96,0.396,10,44,0.227,9,14,0.643,19,51,21,9,3,15,17,41,87,0.471,19,42,0.452,15,20,0.75,12,47,23,12,3,16,14
162,OKC,26,12/12/2021,Home,DAL,L,84,103,30,80,0.375,13,37,0.351,11,16,0.688,3,39,19,3,7,11,25,38,90,0.422,9,33,0.273,18,23,0.783,10,54,25,5,5,6,18
163,OKC,27,15/12/2021,Home,NOP,L,110,113,39,93,0.419,13,35,0.371,19,19,1,8,42,22,8,4,8,25,39,80,0.488,11,28,0.393,24,36,0.667,10,49,23,6,3,11,19
164,OKC,28,18/12/2021,Home,LAC,W,104,103,43,92,0.467,12,31,0.387,6,10,0.6,17,55,23,4,4,15,18,37,83,0.446,16,39,0.41,13,19,0.684,7,39,26,11,3,12,16
165,OKC,29,20/12/2021,Away,MEM,W,102,99,36,84,0.429,11,38,0.289,19,28,0.679,9,47,24,7,7,14,17,39,101,0.386,11,32,0.344,10,13,0.769,17,51,24,9,2,12,21
166,OKC,30,22/12/2021,Home,DEN,W,108,94,42,94,0.447,8,34,0.235,16,19,0.842,15,60,22,7,4,11,25,33,84,0.393,13,44,0.295,15,26,0.577,4,39,21,7,5,11,18
167,OKC,31,23/12/2021,Away,PHO,L,101,113,37,96,0.385,11,41,0.268,16,21,0.762,11,44,17,6,5,12,10,45,93,0.484,15,39,0.385,8,13,0.615,11,52,26,9,8,13,22
168,OKC,32,26/12/2021,Home,NOP,W,117,112,41,86,0.477,13,36,0.361,22,31,0.71,7,47,24,8,5,12,23,39,94,0.415,10,41,0.244,24,28,0.857,11,49,26,10,4,10,19
169,OKC,33,28/12/2021,Away,SAC,L,111,117,35,90,0.389,11,33,0.333,30,36,0.833,8,45,16,6,6,9,21,40,95,0.421,17,39,0.436,20,27,0.741,11,57,25,3,9,10,22
170,OKC,34,29/12/2021,Away,PHO,L,97,115,38,96,0.396,7,35,0.2,14,16,0.875,14,45,19,6,1,11,24,41,89,0.461,12,34,0.353,21,28,0.75,18,56,22,7,7,14,15
171,OKC,35,31/12/2021,Home,NYK,W,95,80,36,87,0.414,18,43,0.419,5,7,0.714,7,49,21,6,3,9,17,30,81,0.37,8,41,0.195,12,22,0.545,5,48,12,6,3,10,12
172,OKC,36,02/01/2022,Home,DAL,L,86,95,35,85,0.412,10,30,0.333,6,9,0.667,7,41,20,11,4,11,16,38,85,0.447,14,39,0.359,5,7,0.714,7,48,28,9,3,16,12
173,OKC,37,05/01/2022,Away,MIN,L,90,98,33,90,0.367,9,35,0.257,15,18,0.833,14,52,21,11,7,17,18,36,90,0.4,12,44,0.273,14,20,0.7,15,55,23,11,7,16,16
174,OKC,38,07/01/2022,Home,MIN,L,105,135,36,89,0.404,15,44,0.341,18,23,0.783,13,45,26,10,4,19,23,50,90,0.556,17,41,0.415,18,25,0.72,8,45,39,12,8,15,18
175,OKC,39,09/01/2022,Home,DEN,L,95,99,38,88,0.432,9,38,0.237,10,12,0.833,11,41,29,9,7,9,13,37,89,0.416,13,36,0.361,12,16,0.75,18,53,28,7,2,15,14
176,OKC,40,11/01/2022,Away,WAS,L,118,122,47,98,0.48,11,39,0.282,13,15,0.867,9,41,23,5,1,5,20,47,87,0.54,11,33,0.333,17,23,0.739,7,42,29,3,7,8,15
